,new,P,old,P,,
cost of lappy,850,1,200,1,,
cost of setup,225,1,225,1,,
cost of battery,100,0.95,50,0.6,,
,,,,,,
years,5,,2,,,
,234,,227.5,,,
,,,,,,
,new,P,old,P,,
cost of lappy,650,1,0,1,,
cost of setup,450,0.8,0,1,,
cost of battery,100,0.95,50,0.6,,
cost of buying a newer laptop or making upgrades,850,5.00%,380,20.00%,,graphics card didnâ€™t work properly
cost of ram upgrade,,,100,100.00%,,
Cost of return and buying another laptop,267.5,5.00%,,,,
years,5,,2,,,
,232.175,,103,,,
,,,,,,
,,,,,,
SP(Value),New,P,old,P,,
,,,,,,
Basic usage (belangerijk),18,0.5,12,50.00%,per week,
DS,0,0,0,0,,
Reduction,,,,,,
gaming overall value to life,,0.3,,,,
total hrs,9,,6,,,
SP(Value),135,,90,,per week,
,540,,360,,per month,
,6480,,4320,,per year,
,,,,,,
,307.825,,257,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,P,,,,
